sub	session	condition	accuracy	RT
sub-5274	5	S_U	0.5	1.8506363636363636
sub-5274	7	S_C	1.0	0.953375
sub-5274	7	S_H	0.9166666666666667	1.4248825757575758
sub-5274	7	S_L	0.7916666666666667	1.3865909090909092
sub-5274	7	S_U	0.8333333333333334	1.5638045454545453
sub-5286	5	S_C	0.7916666666666667	1.3559999999999999
sub-5286	5	S_H	0.8333333333333334	1.3452727272727274
sub-5286	5	S_L	0.9166666666666666	1.2761666666666667
sub-5286	5	S_U	0.7916666666666667	1.29855
sub-5286	7	S_C	1.0	1.2609166666666667
sub-5286	7	S_H	1.0	1.1735833333333332
sub-5286	7	S_L	0.9583333333333333	1.2486666666666666
sub-5286	7	S_U	0.9583333333333333	1.2898333333333332
sub-5304	5	S_C	1.0	1.4024583333333334
sub-5304	5	S_H	0.75	1.1497348484848486
sub-5304	5	S_L	0.6666666666666667	1.4182916666666665
sub-5304	5	S_U	0.9166666666666666	1.2658068181818183
sub-5304	7	S_C	0.9583333333333333	1.0995416666666666
sub-5304	7	S_H	0.9583333333333333	1.1114166666666665
sub-5304	7	S_L	0.8333333333333333	1.2779583333333333
sub-5304	7	S_U	0.9583333333333333	1.2634583333333333
sub-5338	5	S_C	0.9166666666666667	1.6809166666666666
sub-5338	5	S_H	0.875	1.3464166666666666
sub-5338	5	S_L	0.7916666666666667	1.403541666666667
sub-5338	5	S_U	0.75	1.3952083333333334
sub-5338	7	S_C	1.0	1.7671666666666668
sub-5338	7	S_H	0.9583333333333333	1.3637840909090908
sub-5338	7	S_L	0.9166666666666666	1.655871212121212
sub-5338	7	S_U	0.9166666666666667	1.6471666666666667
